geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Plateaux,2_sample_mean,9123098,412,412,1,1,5430137.0,,16473455.0
Plateaux,2_sample_mean,9130431,470,470,1,1,5430137.0,,16473455.0
Plateaux,2_sample_mean,9203536,1044,1044,1,1,5430137.0,,16473455.0
Savanes,2_sample_mean,9217300,1151,1151,1,1,5417934.0,,20744350.0
Maritime,2_sample_mean,9574754,3951,3951,1,1,5411833.0,,14032943.0
Maritime,2_sample_mean,9107674,289,289,1,1,5411833.0,,14032943.0
Plateaux,2_sample_mean,9365333,2316,2316,1,1,5405731.0,,22574734.0
Savanes,2_sample_mean,9609265,4225,4225,1,1,5399630.5,,23794990.0
Centrale,2_sample_mean,9858926,6185,6185,1,1,5399630.0,,24405118.0
Plateaux,2_sample_mean,10020570,7442,7442,1,1,5399630.0,,16473455.0
Centrale,2_sample_mean,10284372,9513,9513,1,1,5399630.0,,24405118.0
Centrale,2_sample_mean,10046836,7646,7646,1,1,5399630.0,,23184862.0
Centrale,2_sample_mean,9816153,5850,5850,1,1,5399629.5,,23184862.0
Maritime,2_sample_mean,9203969,1047,1047,1,1,5393529.5,,14643071.0
Centrale,2_sample_mean,9514956,3483,3483,1,1,5393529.0,,23184862.0
Centrale,2_sample_mean,9647509,4529,4529,1,1,5393529.0,,23184862.0
Maritime,2_sample_mean,9673013,4726,4726,1,1,5393528.0,,32336782.0
Centrale,2_sample_mean,9659104,4620,4620,1,1,5387427.0,,23184862.0
Plateaux,2_sample_mean,9216911,1148,1148,1,1,5381327.5,,16473455.0
Plateaux,2_sample_mean,10059402,7747,7747,1,1,5381327.5,,16473455.0
Maritime,2_sample_mean,9803324,5750,5750,1,1,5381325.0,,26845630.0
Kara,2_sample_mean,10200943,8859,8859,1,1,5375225.0,,17083582.0
Kara,2_sample_mean,9098653,221,221,1,1,5375225.0,,17083582.0
Kara,2_sample_mean,10299290,9631,9631,1,1,5375225.0,,17083582.0
Kara,2_sample_mean,9452460,2997,2997,1,1,5369124.5,,16473455.0
Kara,2_sample_mean,9698455,4929,4929,1,1,5356922.0,,13422815.0
Plateaux,2_sample_mean,9809080,5795,5795,1,1,5356920.5,,18303838.0
Plateaux,2_sample_mean,9458260,3041,3041,1,1,5344719.0,,16473455.0
Maritime,2_sample_mean,9373502,2382,2382,1,1,5338618.0,,14032943.0
Centrale,2_sample_mean,9360059,2274,2274,1,1,5332516.0,,24405118.0
Centrale,2_sample_mean,10030782,7521,7521,1,1,5332516.0,,24405118.0
Plateaux,2_sample_mean,9950570,6898,6898,1,1,5332515.5,,20744350.0
Plateaux,2_sample_mean,9303466,1828,1828,1,1,5332515.5,,20744350.0
Maritime,2_sample_mean,10240574,9172,9172,1,1,5326416.0,,15253199.0
Maritime,2_sample_mean,10151704,8472,8472,1,1,5326416.0,,15253199.0
Maritime,2_sample_mean,9114733,344,344,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9576229,3962,3962,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9642826,4491,4491,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9085540,116,116,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9529447,3599,3599,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9230908,1257,1257,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9632894,4411,4411,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,10341701,9963,9963,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9520592,3526,3526,1,1,5326415.5,,13422815.0
Maritime,2_sample_mean,9665773,4670,4670,1,1,5326415.5,,13422815.0
Centrale,2_sample_mean,9733191,5202,5202,1,1,5320313.0,,23184862.0
Centrale,2_sample_mean,9967048,7029,7029,1,1,5320313.0,,23184862.0
Centrale,2_sample_mean,9166341,750,750,1,1,5320313.0,,23184862.0
Centrale,2_sample_mean,10289393,9553,9553,1,1,5320313.0,,23794990.0
Centrale,2_sample_mean,10331289,9882,9882,1,1,5320313.0,,23184862.0
Kara,2_sample_mean,9695938,4910,4910,1,1,5314213.5,,13422815.0
Plateaux,2_sample_mean,9245463,1373,1373,1,1,5314213.0,,12812687.0
Plateaux,2_sample_mean,9538221,3666,3666,1,1,5314212.5,,10372175.0
Kara,2_sample_mean,9096183,201,201,1,1,5308111.0,,16473455.0
Centrale,2_sample_mean,9307908,1864,1864,1,1,5308110.5,,23794990.0
Savanes,2_sample_mean,9255057,1448,1448,1,1,5302009.0,,26845630.0
Centrale,2_sample_mean,10302978,9659,9659,1,1,5289808.5,,16473455.0
Centrale,2_sample_mean,9265763,1532,1532,1,1,5289808.5,,16473455.0
Kara,2_sample_mean,9669253,4699,4699,1,1,5289807.5,,12812687.0
Kara,2_sample_mean,10335227,9913,9913,1,1,5289807.5,,12812687.0
