geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Woroba,1_analytic_mean,27647,12,1990,1,1,6312539,0,27060134
N'Zerekore,1_analytic_mean,27647,12,1990,1,1,202027.59,0,1076250.38
Nimba,1_analytic_mean,27647,12,1990,1,1,1402508,0,2767500.5
Sassandra-Marahoué,1_analytic_mean,27667,12,1990,1,1,14061689,0,43511600
Woroba,1_analytic_mean,27667,12,1990,1,1,1001220.5,0,3075000.5
Savanes,1_analytic_mean,27670,12,1990,1,1,16605.01,0,153750.09
Sassandra-Marahoué,1_analytic_mean,27670,12,1990,1,1,495382.75,0,1537500.38
Woroba,1_analytic_mean,27670,12,1990,1,1,1671570.25,0,8302500.5
Woroba,1_analytic_mean,27677,12,1990,1,1,50737.53,0,307500.22
Zanzan,1_analytic_mean,27711,13,1991,1,1,16605.01,0,153750.09
Valleé du Bandama,1_analytic_mean,27714,13,1991,1,1,16605.01,0,153750.09
Woroba,1_analytic_mean,27714,13,1991,1,1,83947.55,0,461250.34
Gôh-Djiboua,1_analytic_mean,27723,13,1991,1,1,1209090.38,0,2921250.5
Montagnes,1_analytic_mean,27723,13,1991,1,1,3132195.5,0,15067501
Lacs,1_analytic_mean,27723,13,1991,1,1,38656032,0,82411648
Lagunes,1_analytic_mean,27723,13,1991,1,1,43870660,0,69803328
District Autonome d'Abidjan,1_analytic_mean,27723,13,1991,1,1,71941360,0,216644128
Comoé,1_analytic_mean,27723,13,1991,1,1,65814588,0,131768608
Zanzan,1_analytic_mean,27723,13,1991,1,1,1179263,0,3690000.5
Western North,1_analytic_mean,27723,13,1991,1,1,50737.53,0,153750.09
Valleé du Bandama,1_analytic_mean,27723,13,1991,1,1,7001468,0,22293822
Western,1_analytic_mean,27723,13,1991,1,1,1616528.12,0,2152500.5
Montagnes,1_analytic_mean,27848,14,1992,1,1,34132.52,0,153750.09
Gôh-Djiboua,1_analytic_mean,27860,14,1992,1,1,116235.09,0,1076250.38
Sassandra-Marahoué,1_analytic_mean,27860,14,1992,1,1,116235.09,0,1076250.38
Valleé du Bandama,1_analytic_mean,27862,14,1992,1,1,33210.02,0,307500.22
Sassandra-Marahoué,1_analytic_mean,27868,14,1992,1,1,66420.04,0,615000.38
District Autonome de Yamoussoukro,1_analytic_mean,27868,14,1992,1,1,136530.09,0,768750.38
Valleé du Bandama,1_analytic_mean,27868,14,1992,1,1,16605.01,0,153750.09
Bas-Sassandra,1_analytic_mean,27891,14,1992,1,1,198050384,0,294287552
Gôh-Djiboua,1_analytic_mean,27891,14,1992,1,1,9097926,0,30903934
Sassandra-Marahoué,1_analytic_mean,27891,14,1992,1,1,34132.52,0,153750.09
Lagunes,1_analytic_mean,27891,14,1992,1,1,12333523,0,22601326
District Autonome d'Abidjan,1_analytic_mean,27891,14,1992,1,1,3138653,0,9378751
0,1_analytic_mean,27891,14,1992,1,1,1923413.25,0,2613750.5
Lagunes,1_analytic_mean,27899,14,1992,1,1,119925.09,0,615000.38
District Autonome d'Abidjan,1_analytic_mean,27899,14,1992,1,1,7595558,0,46586640
Comoé,1_analytic_mean,27899,14,1992,1,1,1045807.81,0,5227500.5
Gôh-Djiboua,1_analytic_mean,27974,14,1992,1,1,83947.55,0,461250.34
Lacs,1_analytic_mean,27983,14,1992,1,1,16605.01,0,153750.09
Montagnes,1_analytic_mean,28017,15,1993,1,1,33210.02,0,307500.22
Woroba,1_analytic_mean,28020,15,1993,1,1,189420.09,0,1076250.38
Bas-Sassandra,1_analytic_mean,28023,15,1993,1,1,745072.88,0,2767500.5
Valleé du Bandama,1_analytic_mean,28096,15,1993,1,1,238312.64,0,307500.22
Woroba,1_analytic_mean,28096,15,1993,1,1,333022.62,0,1230000.38
Bas-Sassandra,1_analytic_mean,28103,15,1993,1,1,186560512,0,260004448
Gôh-Djiboua,1_analytic_mean,28103,15,1993,1,1,185422.59,0,1076250.38
Lagunes,1_analytic_mean,28103,15,1993,1,1,16605.01,0,153750.09
0,1_analytic_mean,28103,15,1993,1,1,1903118.25,0,2767500.5
Savanes,1_analytic_mean,28175,16,1994,1,1,1355460.25,0,5996250.5
Sikasso,1_analytic_mean,28175,16,1994,1,1,16605.01,0,153750.09
Lacs,1_analytic_mean,28175,16,1994,1,1,31378620,0,62115592
Denguele,1_analytic_mean,28175,16,1994,1,1,1468005.25,0,5996250.5
Lagunes,1_analytic_mean,28175,16,1994,1,1,40389676,0,62115592
Zanzan,1_analytic_mean,28175,16,1994,1,1,1915417.75,0,8917501
Valleé du Bandama,1_analytic_mean,28175,16,1994,1,1,513217.72,0,1537500.38
Woroba,1_analytic_mean,28175,16,1994,1,1,83947.55,0,615000.38
Montagnes,1_analytic_mean,28328,17,1995,1,1,408667.66,0,2152500.5
Woroba,1_analytic_mean,28328,17,1995,1,1,16605.01,0,153750.09
Nimba,1_analytic_mean,28328,17,1995,1,1,143295.08,0,307500.22
Montagnes,1_analytic_mean,28396,18,1996,1,1,86715.05,0,307500.22
Sassandra-Marahoué,1_analytic_mean,28396,18,1996,1,1,800115.31,0,3843750.5
Woroba,1_analytic_mean,28396,18,1996,1,1,16605.01,0,153750.09
Bas-Sassandra,1_analytic_mean,28403,18,1996,1,1,361005.16,0,1691250.38
Montagnes,1_analytic_mean,28403,18,1996,1,1,1532580.25,0,6765000.5
Savanes,1_analytic_mean,28404,18,1996,1,1,232470.09,0,2152500.5
Denguele,1_analytic_mean,28404,18,1996,1,1,66420.04,0,615000.38
Woroba,1_analytic_mean,28404,18,1996,1,1,16605.01,0,153750.09
Montagnes,1_analytic_mean,28438,18,1996,1,1,321030.12,0,1845000.38
Woroba,1_analytic_mean,28445,18,1996,1,1,16605.01,0,153750.09
Denguele,1_analytic_mean,28467,18,1996,1,1,99630.07,0,922500.38
Savanes,1_analytic_mean,28493,18,1996,1,1,33210.02,0,307500.22
Bas-Sassandra,1_analytic_mean,28501,18,1996,1,1,7361858,0,14452501
Gôh-Djiboua,1_analytic_mean,28501,18,1996,1,1,6485483,0,17681262
Montagnes,1_analytic_mean,28501,18,1996,1,1,84870.05,0,307500.22
Sassandra-Marahoué,1_analytic_mean,28501,18,1996,1,1,202950.09,0,1383750.38
Bas-Sassandra,1_analytic_mean,28507,18,1996,1,1,151290.11,0,922500.38
Gôh-Djiboua,1_analytic_mean,28518,19,1997,1,1,136530.09,0,768750.38
Sassandra-Marahoué,1_analytic_mean,28518,19,1997,1,1,33210.02,0,307500.22
Lacs,1_analytic_mean,28519,19,1997,1,1,49815.03,0,461250.34
District Autonome de Yamoussoukro,1_analytic_mean,28519,19,1997,1,1,16605.01,0,153750.09
Valleé du Bandama,1_analytic_mean,28519,19,1997,1,1,49815.03,0,461250.34
Savanes,1_analytic_mean,28543,19,1997,1,1,106395.06,0,307500.22
Woroba,1_analytic_mean,28543,19,1997,1,1,16605.01,0,153750.09
Montagnes,1_analytic_mean,28557,19,1997,1,1,1335472.75,0,7072500.5
Savanes,1_analytic_mean,28568,19,1997,1,1,591630.12,0,4458750.5
Denguele,1_analytic_mean,28582,19,1997,1,1,249075.09,0,2306250.5
Zanzan,1_analytic_mean,28582,19,1997,1,1,611617.75,0,3536250.5
Lagunes,1_analytic_mean,28658,19,1997,1,1,1567020.38,0,5381250.5
Bas-Sassandra,1_analytic_mean,28670,20,1998,1,1,237082.64,0,1537500.38
Gôh-Djiboua,1_analytic_mean,28670,20,1998,1,1,16605.01,0,153750.09
Comoé,1_analytic_mean,28674,20,1998,1,1,225090.12,0,615000.38
Zanzan,1_analytic_mean,28674,20,1998,1,1,202950.09,0,1383750.38
Gôh-Djiboua,1_analytic_mean,28675,20,1998,1,1,99630.07,0,922500.38
Sassandra-Marahoué,1_analytic_mean,28675,20,1998,1,1,83025.05,0,768750.38
Montagnes,1_analytic_mean,28680,20,1998,1,1,16605.01,0,153750.09
Sassandra-Marahoué,1_analytic_mean,28687,20,1998,1,1,823177.75,0,5073750.5
